"","X","pl.p","IBRA","IBRAsub","data.source","collecting.agency","planting","plot","measure.date","lat","long","year.planted","age","establishment","plot.type","planting.width","plot.area","geometry","width","aridity.index","carbon","clay","elevation.relief","elevation","nitrogen","phosphorus","ph","prec.annual","prec.season","prescott","sand","silt","slope","soil.depth","solar.annual","tmax.annual","tmin.annual","TWI","tot.ag.mass","biomass.area","plant.count","density","rare.rich","rare.rich.se","alpha","planting.old"
"11",11,"24.a","AVW","AVW01","Greening Australia","GA-WA Avon","24","a",2009,-31.4529,117.7533,1998,11,"TS","Planting",NA,0.088,"Block",5,0.211920529603958,1.47469687461853,11.1468642552694,8.30108642578125,335,0.0498808833460013,0.0109434444457293,5.59688917795817,320,50,0.343258202075958,81.1289393107096,2.87541588147481,0.576161861419678,0.653566122055054,20.8674051166279,24.475,10.75,10.681713104248,2354.73248,26758.3236363636,41,465.909090909091,2.99989725086002,0.010136004271437,3,"AFOP1"
"12",12,"24.b","AVW","AVW01","Greening Australia","GA-WA Avon","24","b",2009,-31.4529,117.7533,1998,11,"TS","Planting",NA,0.088,"Block",5,0.211920529603958,1.47469687461853,11.1468642552694,8.30108642578125,335,0.0498808833460013,0.0109434444457293,5.59688917795817,320,50,0.343258202075958,81.1289393107096,2.87541588147481,0.576161861419678,0.653566122055054,20.8674051166279,24.475,10.75,10.681713104248,2714.334639,30844.7118068182,32,363.636363636364,2,0,2,"AFOP1"
"13",13,"24.c","AVW","AVW01","Greening Australia","GA-WA Avon","24","c",2009,-31.4529,117.7533,1998,11,"TS","Planting",NA,0.088,"Block",5,0.211920529603958,1.47469687461853,11.1468642552694,8.30108642578125,335,0.0498808833460013,0.0109434444457293,5.59688917795817,320,50,0.343258202075958,81.1289393107096,2.87541588147481,0.576161861419678,0.653566122055054,20.8674051166279,24.475,10.75,10.681713104248,2034.968586,23124.6430227273,32,363.636363636364,2,0,2,"AFOP1"
"14",14,"25.a","AVW","AVW01","Greening Australia","GA-WA Avon","25","a",2009,-31.1811,117.1076,1997,12,"TS","Planting",NA,0.119,"Block",5,0.218729540705681,1.33501267433167,14.4184325536092,11.826416015625,304,0.0548105686903,0.0106670350457231,5.4678807258606,334,58,0.345807075500488,74.2630920410156,3.7355637550354,0.558961629867554,0.7167027592659,20.4470882538293,24.7916666666667,11.0833333333333,10.183331489563,2404.26373,20203.8968907563,47,394.957983193277,5.73465116485775,0.475735300732177,6,"AHAP12"
"15",15,"25.b","AVW","AVW01","Greening Australia","GA-WA Avon","25","b",2009,-31.1811,117.1076,1997,12,"TS","Planting",NA,0.119,"Block",5,0.218729540705681,1.33501267433167,14.4184325536092,11.826416015625,304,0.0548105686903,0.0106670350457231,5.4678807258606,334,58,0.345807075500488,74.2630920410156,3.7355637550354,0.558961629867554,0.7167027592659,20.4470882538293,24.7916666666667,11.0833333333333,10.183331489563,1958.98524,16462.0608403361,25,210.084033613445,4,0,4,"AHAP12"
"16",16,"25.c","AVW","AVW01","Greening Australia","GA-WA Avon","25","c",2009,-31.1811,117.1076,1997,12,"TS","Planting",NA,0.119,"Block",5,0.218729540705681,1.33501267433167,14.4184325536092,11.826416015625,304,0.0548105686903,0.0106670350457231,5.4678807258606,334,58,0.345807075500488,74.2630920410156,3.7355637550354,0.558961629867554,0.7167027592659,20.4470882538293,24.7916666666667,11.0833333333333,10.183331489563,1412.042812,11865.9059831933,40,336.134453781513,2.69230769230769,0.487143971999037,3,"AHAP12"
"17",17,"25.d","AVW","AVW01","Greening Australia","GA-WA Avon","25","d",2009,-31.1811,117.1076,1997,12,"TS","Planting",NA,0.119,"Block",5,0.218729540705681,1.33501267433167,14.4184325536092,11.826416015625,304,0.0548105686903,0.0106670350457231,5.4678807258606,334,58,0.345807075500488,74.2630920410156,3.7355637550354,0.558961629867554,0.7167027592659,20.4470882538293,24.7916666666667,11.0833333333333,10.183331489563,3090.139575,25967.5594537815,58,487.394957983193,5.41502656789086,0.666400213523691,6,"AHAP12"
"18",18,"26.a","AVW","AVW01","Greening Australia","GA-WA Avon","26","a",2009,-31.2786,117.0745,2003,6,"TS","Planting",NA,0.04,"Block",5,0.221860766410828,1.29778480529785,15.8540239334106,5.52250671386719,262,0.0498508630941311,0.0117980865761638,6.23519992828369,341,58,0.344218403100967,77.755605061849,4.37351751327515,0.649260878562927,0.80492627620697,20.4827450132325,25.0416666666667,11.2666666666667,8.51507091522217,814.068242,20351.70605,92,2300,4.54575412299186,0.49977318453535,5,"AHOP13"
"19",19,"26.b","AVW","AVW01","Greening Australia","GA-WA Avon","26","b",2009,-31.2786,117.0745,2003,6,"TS","Planting",NA,0.04,"Block",5,0.221860766410828,1.29778480529785,15.8540239334106,5.52250671386719,262,0.0498508630941311,0.0117980865761638,6.23519992828369,341,58,0.344218403100967,77.755605061849,4.37351751327515,0.649260878562927,0.80492627620697,20.4827450132325,25.0416666666667,11.2666666666667,8.51507091522217,849.594296,21239.8574,48,1200,4.62456496254123,0.484475550664045,5,"AHOP13"
"20",20,"26.c","AVW","AVW01","Greening Australia","GA-WA Avon","26","c",2009,-31.2786,117.0745,2003,6,"TS","Planting",NA,0.04,"Block",5,0.221860766410828,1.29778480529785,15.8540239334106,5.52250671386719,262,0.0498508630941311,0.0117980865761638,6.23519992828369,341,58,0.344218403100967,77.755605061849,4.37351751327515,0.649260878562927,0.80492627620697,20.4827450132325,25.0416666666667,11.2666666666667,8.51507091522217,602.173195,15054.329875,66,1650,4.70388394835385,0.457655728642847,5,"AHOP13"
"21",21,"27.a","AVW","AVW01","Greening Australia","GA-WA Avon","27","a",2009,-31.2774,117.0734,2002,7,"TS","Planting",NA,0.0225,"Block",5,0.221860766410828,1.36389255523682,17.1586322784424,5.72125244140625,257,0.0505861515800158,0.0100232350329558,6.16434574127197,341,58,0.344726026058197,75.6405461629232,4.29665692647298,0.606762170791626,0.792361378669739,20.4827450132325,25.0416666666667,11.2666666666667,9.49540424346924,297.836362,13237.1716444444,38,1688.88888888889,7.7296181630547,0.465825894401734,8,"AHOP14"
"22",22,"27.b","AVW","AVW01","Greening Australia","GA-WA Avon","27","b",2009,-31.2774,117.0734,2002,7,"TS","Planting",NA,0.0225,"Block",5,0.221860766410828,1.36389255523682,17.1586322784424,5.72125244140625,257,0.0505861515800158,0.0100232350329558,6.16434574127197,341,58,0.344726026058197,75.6405461629232,4.29665692647298,0.606762170791626,0.792361378669739,20.4827450132325,25.0416666666667,11.2666666666667,9.49540424346924,282.524889,12556.6617333333,41,1822.22222222222,6.68516756901186,0.48570749883543,7,"AHOP14"
"23",23,"27.c","AVW","AVW01","Greening Australia","GA-WA Avon","27","c",2009,-31.2774,117.0734,2002,7,"TS","Planting",NA,0.0225,"Block",5,0.221860766410828,1.36389255523682,17.1586322784424,5.72125244140625,257,0.0505861515800158,0.0100232350329558,6.16434574127197,341,58,0.344726026058197,75.6405461629232,4.29665692647298,0.606762170791626,0.792361378669739,20.4827450132325,25.0416666666667,11.2666666666667,9.49540424346924,355.358773,15793.7232444444,39,1733.33333333333,5.71889703468651,0.470119350015085,6,"AHOP14"
"24",24,"28.a","AVW","AVW01","Greening Australia","GA-WA Avon","28","a",2009,-31.2021,117.1033,2000,9,"DS/TS","Planting",NA,0.0225,"Block",5,0.216655820608139,1.33493638038635,18.1185471216838,10.4885559082031,280,0.058433685451746,0.0106822199498614,5.80591646830241,333,58,0.34441477060318,69.8876927693685,5.25842062632243,0.78672069311142,0.750432550907135,20.4422758241025,24.9916666666667,11.2416666666667,11.0838651657104,793.653386,35273.4838222222,44,1955.55555555556,8.76996639986609,0.449087000662261,9,"AHOP15"
"25",25,"28.b","AVW","AVW01","Greening Australia","GA-WA Avon","28","b",2009,-31.2021,117.1033,2000,9,"DS/TS","Planting",NA,0.0225,"Block",5,0.216655820608139,1.33493638038635,18.1185471216838,10.4885559082031,280,0.058433685451746,0.0106822199498614,5.80591646830241,333,58,0.34441477060318,69.8876927693685,5.25842062632243,0.78672069311142,0.750432550907135,20.4422758241025,24.9916666666667,11.2416666666667,11.0838651657104,612.083848,27203.7265777778,40,1777.77777777778,7.49496604140567,0.607181293545409,8,"AHOP15"
"26",26,"28.c","AVW","AVW01","Greening Australia","GA-WA Avon","28","c",2009,-31.2021,117.1033,2000,9,"DS/TS","Planting",NA,0.0225,"Block",5,0.216655820608139,1.33493638038635,18.1185471216838,10.4885559082031,280,0.058433685451746,0.0106822199498614,5.80591646830241,333,58,0.34441477060318,69.8876927693685,5.25842062632243,0.78672069311142,0.750432550907135,20.4422758241025,24.9916666666667,11.2416666666667,11.0838651657104,517.778346,23012.3709333333,34,1511.11111111111,5.88101604278075,0.323902804330404,6,"AHOP15"
"27",27,"29.a","AVW","AVW01","Greening Australia","GA-WA Avon","29","a",2009,-30.7562,117.7948,1986,23,"TS","Planting",NA,0.1,"Block",5,0.212475627660751,1.15209293365479,14.0625995000203,15.496337890625,387,0.0401958686610063,0.00947437155991793,5.36825672785441,327,50,0.302294343709946,78.5204467773438,3.31952857971191,1.97372162342072,0.654994785785675,21.4714580512066,25,11.2666666666667,9.32090377807617,7215.518562,72155.18562,40,400,4.98708830287778,0.112904065997193,5,"AHOP9"
"28",28,"29.b","AVW","AVW01","Greening Australia","GA-WA Avon","29","b",2009,-30.7562,117.7948,1986,23,"TS","Planting",NA,0.077,"Block",5,0.212475627660751,1.15209293365479,14.0625995000203,15.496337890625,387,0.0401958686610063,0.00947437155991793,5.36825672785441,327,50,0.302294343709946,78.5204467773438,3.31952857971191,1.97372162342072,0.654994785785675,21.4714580512066,25,11.2666666666667,9.32090377807617,4950.190045,64288.1824025974,25,324.675324675325,6,0,6,"AHOP9"
"29",29,"29.c","AVW","AVW01","Greening Australia","GA-WA Avon","29","c",2009,-30.7562,117.7948,1986,23,"TS","Planting",NA,0.1,"Block",5,0.212475627660751,1.15209293365479,14.0625995000203,15.496337890625,387,0.0401958686610063,0.00947437155991793,5.36825672785441,327,50,0.302294343709946,78.5204467773438,3.31952857971191,1.97372162342072,0.654994785785675,21.4714580512066,25,11.2666666666667,9.32090377807617,2435.541337,24355.41337,11,110,3,0,3,"AHOP9"
"30",30,"30.a","AVW","AVW01","Greening Australia","GA-WA Avon","30","a",2009,-30.825,117.4972,1999,10,"TS","Planting",NA,0.09,"Block",5,0.197674423456192,1.22176587581635,15.0476493835449,10.6749572753906,332,0.0383669367680947,0.0101609906802575,5.4442925453186,306,56,0.301716476678848,79.5116780598958,4.06877001126607,1.36506927013397,0.719810962677002,20.9574026031476,25.1833333333333,11.4333333333333,10.0719757080078,2170.161224,24112.9024888889,34,377.777777777778,6.63636363636364,0.547345208126922,7,"AHUP11"
"31",31,"30.b","AVW","AVW01","Greening Australia","GA-WA Avon","30","b",2009,-30.825,117.4972,1999,10,"TS","Planting",NA,0.09,"Block",5,0.197674423456192,1.22176587581635,15.0476493835449,10.6749572753906,332,0.0383669367680947,0.0101609906802575,5.4442925453186,306,56,0.301716476678848,79.5116780598958,4.06877001126607,1.36506927013397,0.719810962677002,20.9574026031476,25.1833333333333,11.4333333333333,10.0719757080078,1564.189314,17379.8812666667,35,388.888888888889,5.71409472880061,0.48764898827573,6,"AHUP11"
"32",32,"30.c","AVW","AVW01","Greening Australia","GA-WA Avon","30","c",2009,-30.825,117.4972,1999,10,"TS","Planting",NA,0.09,"Block",5,0.197674423456192,1.22176587581635,15.0476493835449,10.6749572753906,332,0.0383669367680947,0.0101609906802575,5.4442925453186,306,56,0.301716476678848,79.5116780598958,4.06877001126607,1.36506927013397,0.719810962677002,20.9574026031476,25.1833333333333,11.4333333333333,10.0719757080078,1957.41111,21749.0123333333,28,311.111111111111,7,0,7,"AHUP11"
"33",33,"31.a","AVW","AVW01","Greening Australia","GA-WA Avon","31","a",2009,-30.8299,117.6601,2001,8,"TS","Planting",NA,0.042,"Block",5,0.204530745744705,1.41486537456512,14.2365859349569,10.51513671875,326,0.0462440028786659,0.0130014239499966,5.75885152816772,316,53,0.29720675945282,79.7716979980469,3.56775045394897,1.32258057594299,0.671472191810608,20.9495636754704,25.1333333333333,11.4083333333333,10.1024208068848,1425.081712,33930.5169523809,51,1214.28571428571,2.58823529411765,0.49215295678475,3,"AHUP6"
"34",34,"31.b","AVW","AVW01","Greening Australia","GA-WA Avon","31","b",2009,-30.8299,117.6601,2001,8,"TS","Planting",NA,0.042,"Block",5,0.204530745744705,1.41486537456512,14.2365859349569,10.51513671875,326,0.0462440028786659,0.0130014239499966,5.75885152816772,316,53,0.29720675945282,79.7716979980469,3.56775045394897,1.32258057594299,0.671472191810608,20.9495636754704,25.1333333333333,11.4083333333333,10.1024208068848,2292.897579,54592.7995,55,1309.52380952381,3.95680012075271,0.20385574553689,4,"AHUP6"
"35",35,"31.c","AVW","AVW01","Greening Australia","GA-WA Avon","31","c",2009,-30.8299,117.6601,2001,8,"TS","Planting",NA,0.042,"Block",5,0.204530745744705,1.41486537456512,14.2365859349569,10.51513671875,326,0.0462440028786659,0.0130014239499966,5.75885152816772,316,53,0.29720675945282,79.7716979980469,3.56775045394897,1.32258057594299,0.671472191810608,20.9495636754704,25.1333333333333,11.4083333333333,10.1024208068848,761.50332,18131.0314285714,46,1095.2380952381,1.99999999999899,1.00428040247572e-06,2,"AHUP6"
"36",36,"31.d","AVW","AVW01","Greening Australia","GA-WA Avon","31","d",2009,-30.8299,117.6601,2001,8,"TS","Planting",NA,0.042,"Block",5,0.204530745744705,1.41486537456512,14.2365859349569,10.51513671875,326,0.0462440028786659,0.0130014239499966,5.75885152816772,316,53,0.29720675945282,79.7716979980469,3.56775045394897,1.32258057594299,0.671472191810608,20.9495636754704,25.1333333333333,11.4083333333333,10.1024208068848,1046.081105,24906.6929761905,59,1404.7619047619,2.97627929608226,0.152177633453107,3,"AHUP6"
"37",37,"32.a","AVW","AVW01","Greening Australia","GA-WA Avon","32","a",2009,-30.83,117.6687,2001,8,"TS","Planting",NA,0.0291,"Block",5,0.204398453235626,1.32023286819458,12.8374859491984,12.4288635253906,342,0.0391021172205607,0.0110551659017801,5.7724183400472,316,53,0.293030321598053,81.0977223714193,3.06287137667338,0.849985778331757,0.67530483007431,21.0321506622058,25.1333333333333,11.4,8.71032524108887,315.735074,10850.0025429553,39,1340.20618556701,1,0,1,"AHUP8"
"38",38,"32.b","AVW","AVW01","Greening Australia","GA-WA Avon","32","b",2009,-30.83,117.6687,2001,8,"TS","Planting",NA,0.0651,"Block",5,0.204398453235626,1.32023286819458,12.8374859491984,12.4288635253906,342,0.0391021172205607,0.0110551659017801,5.7724183400472,316,53,0.293030321598053,81.0977223714193,3.06287137667338,0.849985778331757,0.67530483007431,21.0321506622058,25.1333333333333,11.4,8.71032524108887,389.093027,5976.85141321044,49,752.688172043011,1.61224489795919,0.487238219849523,2,"AHUP8"
"39",39,"32.c","AVW","AVW01","Greening Australia","GA-WA Avon","32","c",2009,-30.83,117.6687,2001,8,"TS","Planting",NA,0.0291,"Block",5,0.204398453235626,1.32023286819458,12.8374859491984,12.4288635253906,342,0.0391021172205607,0.0110551659017801,5.7724183400472,316,53,0.293030321598053,81.0977223714193,3.06287137667338,0.849985778331757,0.67530483007431,21.0321506622058,25.1333333333333,11.4,8.71032524108887,289.624806,9952.7424742268,42,1443.29896907216,1,0,1,"AHUP8"
"40",40,"33.a","AVW","AVW01","Greening Australia","GA-WA Avon","33","a",2009,-31.4922,118.9084,2002,7,"TS","Planting",NA,0.0312,"Block",5,0.215425536036491,1.40742766857147,10.6051246325175,11.4602661132812,410,0.0468097080787023,0.0125743333871166,5.35249026616414,324,45,0.321122735738754,83.0460255940755,2.64579979578654,1.51189744472504,0.660905599594116,21.2986693684022,24.2916666666667,10.3916666666667,9.22193717956543,370.653685,11879.9258012821,35,1121.79487179487,1,0,1,"AKEP4"
"41",41,"33.b","AVW","AVW01","Greening Australia","GA-WA Avon","33","b",2009,-31.4922,118.9084,2002,7,"TS","Planting",NA,0.0312,"Block",5,0.215425536036491,1.40742766857147,10.6051246325175,11.4602661132812,410,0.0468097080787023,0.0125743333871166,5.35249026616414,324,45,0.321122735738754,83.0460255940755,2.64579979578654,1.51189744472504,0.660905599594116,21.2986693684022,24.2916666666667,10.3916666666667,9.22193717956543,224.018411,7180.07727564103,34,1089.74358974359,1,0,1,"AKEP4"
"42",42,"33.c","AVW","AVW01","Greening Australia","GA-WA Avon","33","c",2009,-31.4922,118.9084,2002,7,"TS","Planting",NA,0.0312,"Block",5,0.215425536036491,1.40742766857147,10.6051246325175,11.4602661132812,410,0.0468097080787023,0.0125743333871166,5.35249026616414,324,45,0.321122735738754,83.0460255940755,2.64579979578654,1.51189744472504,0.660905599594116,21.2986693684022,24.2916666666667,10.3916666666667,9.22193717956543,300.418384,9628.79435897436,42,1346.15384615385,1,0,1,"AKEP4"
"43",43,"34.1","AVW","AVW02","WA DEC",NA,"34","1",2009,-32.8704,117.2512,1996,13,NA,"Planting",NA,0.008,"2 rows",NA,0.32798832654953,2.47401404380798,12.4453852971395,21.0823974609375,361,0.0873307374616464,0.0157491623734434,5.1714973449707,450,61,0.428669452667236,81.5009384155273,2.80763538678487,3.0496621131897,0.793316900730133,20.1876029643492,22.275,9.49166666666667,8.05705738067627,2493.94,311742.5,23,2875,1,0,1,"Alexander"
"44",44,"34.2","AVW","AVW02","WA DEC",NA,"34","2",2009,-32.8704,117.2512,1996,13,NA,"Planting",NA,0.008,"2 rows",NA,0.32798832654953,2.47401404380798,12.4453852971395,21.0823974609375,361,0.0873307374616464,0.0157491623734434,5.1714973449707,450,61,0.428669452667236,81.5009384155273,2.80763538678487,3.0496621131897,0.793316900730133,20.1876029643492,22.275,9.49166666666667,8.05705738067627,1220.5,152562.5,18,2250,1,0,1,"Alexander"
"45",45,"34.3","AVW","AVW02","WA DEC",NA,"34","3",2009,-32.8704,117.2512,1996,13,NA,"Planting",NA,0.008,"2 rows",NA,0.32798832654953,2.47401404380798,12.4453852971395,21.0823974609375,361,0.0873307374616464,0.0157491623734434,5.1714973449707,450,61,0.428669452667236,81.5009384155273,2.80763538678487,3.0496621131897,0.793316900730133,20.1876029643492,22.275,9.49166666666667,8.05705738067627,1286.34,160792.5,15,1875,1,0,1,"Alexander"
"46",46,"35.a","AVW","AVW02","Greening Australia","GA-WA Avon","35","a",2009,-31.103,116.8495,1992,17,"DS/TS","Planting",NA,0.04,"Block",5,0.240026161074638,1.32000350952148,9.843377272288,12.9934692382812,293,0.0515245161950588,0.012798350614806,5.73087326685588,367,61,0.352236568927765,81.3553161621094,2.65497704346975,0.387477844953537,0.854040920734406,20.76439983294,24.9333333333333,11.3166666666667,8.53558826446533,11563.306445,289082.661125,49,1225,5.46073773608486,0.598916936606281,6,"ALWP16"
"47",47,"35.b","AVW","AVW02","Greening Australia","GA-WA Avon","35","b",2009,-31.103,116.8495,1992,17,"DS/TS","Planting",NA,0.04,"Block",5,0.240026161074638,1.32000350952148,9.843377272288,12.9934692382812,293,0.0515245161950588,0.012798350614806,5.73087326685588,367,61,0.352236568927765,81.3553161621094,2.65497704346975,0.387477844953537,0.854040920734406,20.76439983294,24.9333333333333,11.3166666666667,8.53558826446533,4348.38071,108709.51775,52,1300,5.77840669218122,0.862797349224684,7,"ALWP16"
"48",48,"35.c","AVW","AVW02","Greening Australia","GA-WA Avon","35","c",2009,-31.103,116.8495,1992,17,"DS/TS","Planting",NA,0.04,"Block",5,0.240026161074638,1.32000350952148,9.843377272288,12.9934692382812,293,0.0515245161950588,0.012798350614806,5.73087326685588,367,61,0.352236568927765,81.3553161621094,2.65497704346975,0.387477844953537,0.854040920734406,20.76439983294,24.9333333333333,11.3166666666667,8.53558826446533,10950.684902,273767.12255,37,925,4.95945945945946,0.197726410105292,5,"ALWP16"
"49",49,"36.1","AVW","AVW01","WA DEC",NA,"36","1",2012,-30.197,117.116,1996,16,NA,"Planting",NA,0.01,">8 rows",NA,0.19813084602356,1.21017527580261,12.7685419718424,8.30386352539062,300,0.0466554885109266,0.013950125935177,5.79843870798747,318,58,0.294848442077637,78.3242619832357,3.32078639666239,0.792999565601349,0.818799376487732,21.5113995274855,26.1333333333333,11.9666666666667,12.7153787612915,198.89,19889,32,3200,1,0,1,"Angel"
"50",50,"36.10","AVW","AVW01","WA DEC",NA,"36","10",2012,-30.197,117.116,1996,16,NA,"Planting",NA,0.01,">8 rows",NA,0.19813084602356,1.21017527580261,12.7685419718424,8.30386352539062,300,0.0466554885109266,0.013950125935177,5.79843870798747,318,58,0.294848442077637,78.3242619832357,3.32078639666239,0.792999565601349,0.818799376487732,21.5113995274855,26.1333333333333,11.9666666666667,12.7153787612915,202.47,20247,31,3100,1,0,1,"Angel"
"51",51,"36.11","AVW","AVW01","WA DEC",NA,"36","11",2012,-30.197,117.116,1996,16,NA,"Planting",NA,0.01,">8 rows",NA,0.19813084602356,1.21017527580261,12.7685419718424,8.30386352539062,300,0.0466554885109266,0.013950125935177,5.79843870798747,318,58,0.294848442077637,78.3242619832357,3.32078639666239,0.792999565601349,0.818799376487732,21.5113995274855,26.1333333333333,11.9666666666667,12.7153787612915,185.41,18541,35,3500,1,0,1,"Angel"
"52",52,"36.12","AVW","AVW01","WA DEC",NA,"36","12",2012,-30.197,117.116,1996,16,NA,"Planting",NA,0.01,">8 rows",NA,0.19813084602356,1.21017527580261,12.7685419718424,8.30386352539062,300,0.0466554885109266,0.013950125935177,5.79843870798747,318,58,0.294848442077637,78.3242619832357,3.32078639666239,0.792999565601349,0.818799376487732,21.5113995274855,26.1333333333333,11.9666666666667,12.7153787612915,162.9,16290,21,2100,1,0,1,"Angel"
"53",53,"36.13","AVW","AVW01","WA DEC",NA,"36","13",2012,-30.197,117.116,1996,16,NA,"Planting",NA,0.01,">8 rows",NA,0.19813084602356,1.21017527580261,12.7685419718424,8.30386352539062,300,0.0466554885109266,0.013950125935177,5.79843870798747,318,58,0.294848442077637,78.3242619832357,3.32078639666239,0.792999565601349,0.818799376487732,21.5113995274855,26.1333333333333,11.9666666666667,12.7153787612915,100.23,10023,15,1500,1,0,1,"Angel"
